Pincode,Place,Latitude,Longitude,District,State
734101,Darjeeling Court,27.0333,88.2667,DARJEELING,WEST BENGAL
734015,Fulbari Hat,26.7111,88.3462,JALPAIGURI,WEST BENGAL
734014,Tarbandha,26.6993,88.3118,DARJEELING,WEST BENGAL
734013,New Rangia,26.7111,88.3462,DARJEELING,WEST BENGAL
734012,Ranidanga,26.7111,88.3462,DARJEELING,WEST BENGAL
734011,Kadamtala (Darjiling),26.7111,88.3462,DARJEELING,WEST BENGAL
734010,Nemai,26.72300000000001,88.3806,DARJEELING,WEST BENGAL
734009,Simulbari,26.71,88.4285,DARJEELING,WEST BENGAL
734008,Selpu,26.71,88.4285,KALIMPONG,WEST BENGAL
734007,East Bhaktinagar,26.71,88.4285,JALPAIGURI,WEST BENGAL
734006,Rabindra Sarani,26.71,88.4285,JALPAIGURI,WEST BENGAL
734005,Siliguri Bazar,26.71,88.4285,DARJEELING,WEST BENGAL
734004,Desbandhupara,26.71,88.4285,JALPAIGURI,WEST BENGAL
734003,Champasari,26.71,88.4285,DARJEELING,WEST BENGAL
734001,Siliguri,26.71,88.4285,DARJEELING,WEST BENGAL
733215,Tungidighi,25.7836,87.9327,DINAJPUR UTTAR,WEST BENGAL
733210,Dehar,31.4236,76.8181,DINAJPUR UTTAR,WEST BENGAL
733209,Simalia,22.6857,73.7111,DINAJPUR UTTAR,WEST BENGAL
733208,Nando,25.2673,90.1245,DINAJPUR UTTAR,WEST BENGAL
733207,Manikpur,25.0635,81.0983,DINAJPUR UTTAR,WEST BENGAL
733202,Dulalibhita,23.0753,85.279,DINAJPUR UTTAR,WEST BENGAL
733201,Maheshpur,24.4568,87.7581,DINAJPUR UTTAR,WEST BENGAL
733158,Bolla,24.2619,75.9272,DINAJPUR DAKSHIN,WEST BENGAL
733156,Chainagar,24.7528,84.9802,DINAJPUR UTTAR,WEST BENGAL
733145,Thakurpurahat,24.7483,88.9787,DINAJPUR DAKSHIN,WEST BENGAL
733143,Parbatipur,22.6625,88.2222,DINAJPUR UTTAR,WEST BENGAL
733142,Joypur,27.2676,95.39200000000001,DINAJPUR DAKSHIN,WEST BENGAL
733141,Angina,23.8321,88.1878,DINAJPUR DAKSHIN,WEST BENGAL
733140,Ramkrishnapur,22.3294,88.3994,DINAJPUR DAKSHIN,WEST BENGAL
733134,Industrial Market,23.1914,86.5824,DINAJPUR UTTAR,WEST BENGAL
733133,Gobindapur,23.4597,88.2516,DINAJPUR DAKSHIN,WEST BENGAL
733132,Fatepur Hat,24.6386,85.6514,DINAJPUR DAKSHIN,WEST BENGAL
733130,Dadhikotbari,25.6771,88.2228,DINAJPUR UTTAR,WEST BENGAL
733129,Faridpur,27.2166,79.4166,DINAJPUR UTTAR,WEST BENGAL
733128,Patirajpur,24.6819,87.4183,DINAJPUR UTTAR,WEST BENGAL
733127,Ramchandrapur,21.0694,86.1099,DINAJPUR DAKSHIN,WEST BENGAL
733126,Fatepur,19.5496,85.2542,DINAJPUR DAKSHIN,WEST BENGAL
733125,Kanaipur,19.65,85.1333,DINAJPUR DAKSHIN,WEST BENGAL
733124,Raghabpur,22.4181,88.3425,DINAJPUR DAKSHIN,WEST BENGAL
733123,Keotal,23.8575,86.479,DINAJPUR UTTAR,WEST BENGAL
733121,Karai,25.8842,77.8937,DINAJPUR DAKSHIN,WEST BENGAL
733103,Khidirpur,22.5333,88.3167,DINAJPUR DAKSHIN,WEST BENGAL
733102,Radhanagar,23.1546,87.3234,DINAJPUR DAKSHIN,WEST BENGAL
733101,Balurghat,25.221,88.7773,DINAJPUR DAKSHIN,WEST BENGAL
732216,Mahadipur,24.8468,88.1253,MALDAH,WEST BENGAL
732215,Pubarun,23.5342,86.8407,MALDAH,WEST BENGAL
732210,Bhgabanpur,21.7001,85.686,MALDAH,WEST BENGAL
